asset_id|measurement_type_id|measurement_prediction_type_id|ts|value
38|9|0|2025-01-11T10:00:00|85.0
38|9|0|2025-01-11T11:00:00|85.567
38|9|0|2025-01-11T12:00:00|86.0
38|9|0|2025-01-11T13:00:00|86.0
38|9|0|2025-01-11T14:00:00|86.0
38|9|0|2025-01-11T15:00:00|86.034
38|9|0|2025-01-11T16:00:00|86.0
38|9|0|2025-01-11T17:00:00|86.0
38|9|0|2025-01-11T18:00:00|86.034
38|9|0|2025-01-11T19:00:00|85.633
38|9|0|2025-01-11T20:00:00|84.434
38|9|0|2025-01-11T21:00:00|84.834
38|9|0|2025-01-11T22:00:00|85.534
38|9|0|2025-01-11T23:00:00|85.7
38|9|0|2025-01-12T00:00:00|84.7
38|9|0|2025-01-12T01:00:00|84.0
38|9|0|2025-01-12T02:00:00|85.034
38|9|0|2025-01-12T03:00:00|85.166
38|9|0|2025-01-12T04:00:00|86.0
38|9|0|2025-01-12T05:00:00|86.0
38|9|0|2025-01-12T06:00:00|86.0
38|9|0|2025-01-12T07:00:00|85.567
38|9|0|2025-01-12T08:00:00|84.5
38|9|0|2025-01-12T09:00:00|84.0
38|9|0|2025-01-12T10:00:00|84.733
38|9|0|2025-01-12T11:00:00|85.1
38|9|0|2025-01-12T12:00:00|86.767
38|9|0|2025-01-12T13:00:00|88.767
38|9|0|2025-01-12T14:00:00|87.2
38|9|0|2025-01-12T15:00:00|85.4
38|9|0|2025-01-12T16:00:00|85.034
38|9|0|2025-01-12T17:00:00|85.133
38|9|0|2025-01-12T18:00:00|85.934
38|9|0|2025-01-12T19:00:00|85.733
38|9|0|2025-01-12T20:00:00|84.7
38|9|0|2025-01-12T21:00:00|84.034
38|9|0|2025-01-12T22:00:00|84.934
38|9|0|2025-01-12T23:00:00|85.034
38|9|0|2025-01-13T00:00:00|85.034
38|9|0|2025-01-13T01:00:00|85.133
38|9|0|2025-01-13T02:00:00|85.0
38|9|0|2025-01-13T03:00:00|84.334
38|9|0|2025-01-13T04:00:00|83.567
38|9|0|2025-01-13T05:00:00|84.0
38|9|0|2025-01-13T06:00:00|84.733
38|9|0|2025-01-13T07:00:00|85.0
38|9|0|2025-01-13T08:00:00|84.834
38|9|0|2025-01-13T09:00:00|83.233
38|9|0|2025-01-13T10:00:00|82.166
38|9|0|2025-01-13T11:00:00|82.4
38|9|0|2025-01-13T12:00:00|84.373
38|9|0|2025-01-13T13:00:00|84.342
38|9|0|2025-01-13T14:00:00|82.934
38|9|0|2025-01-13T15:00:00|81.767
38|9|0|2025-01-13T16:00:00|81.0
38|9|0|2025-01-13T17:00:00|80.1
38|9|0|2025-01-13T18:00:00|79.934
38|9|0|2025-01-13T19:00:00|79.034
38|9|0|2025-01-13T20:00:00|79.0
38|9|0|2025-01-13T21:00:00|78.434
38|9|0|2025-01-13T22:00:00|78.0
38|9|0|2025-01-13T23:00:00|78.0
38|9|0|2025-01-14T00:00:00|77.434
38|9|0|2025-01-14T01:00:00|77.0
38|9|0|2025-01-14T02:00:00|77.0
38|9|0|2025-01-14T03:00:00|77.0
38|9|0|2025-01-14T04:00:00|77.0
38|9|0|2025-01-14T05:00:00|77.0
38|9|0|2025-01-14T06:00:00|77.0
38|9|0|2025-01-14T07:00:00|77.0
38|9|0|2025-01-14T08:00:00|77.0
38|9|0|2025-01-14T09:00:00|77.666
38|9|0|2025-01-14T10:00:00|78.8
38|9|0|2025-01-14T11:00:00|79.034
38|9|0|2025-01-14T12:00:00|79.367
38|9|0|2025-01-14T13:00:00|78.867
38|9|0|2025-01-14T14:00:00|78.0
38|9|0|2025-01-14T15:00:00|77.867
38|9|0|2025-01-14T16:00:00|77.067
38|9|0|2025-01-14T17:00:00|77.0
38|9|0|2025-01-14T18:00:00|77.0
38|9|0|2025-01-14T19:00:00|77.0
38|9|0|2025-01-14T20:00:00|77.0
38|9|0|2025-01-14T21:00:00|76.9
38|9|0|2025-01-14T22:00:00|76.966
38|9|0|2025-01-14T23:00:00|76.8
38|9|0|2025-01-15T00:00:00|76.2
38|9|0|2025-01-15T01:00:00|76.034
38|9|0|2025-01-15T02:00:00|76.0
38|9|0|2025-01-15T03:00:00|76.0
38|9|0|2025-01-15T04:00:00|76.034
38|9|0|2025-01-15T05:00:00|76.0
38|9|0|2025-01-15T06:00:00|76.0
38|9|0|2025-01-15T07:00:00|76.0
38|9|0|2025-01-15T08:00:00|76.034
38|9|0|2025-01-15T09:00:00|77.2
38|9|0|2025-01-15T10:00:00|78.034
38|9|0|2025-01-15T11:00:00|78.9
38|9|0|2025-01-15T12:00:00|80.0
38|9|0|2025-01-15T13:00:00|82.666
38|9|0|2025-01-15T14:00:00|81.467
38|9|0|2025-01-15T15:00:00|79.566
38|9|0|2025-01-15T16:00:00|78.367
38|9|0|2025-01-15T17:00:00|78.0
38|9|0|2025-01-15T18:00:00|78.034
38|9|0|2025-01-15T19:00:00|78.0
38|9|0|2025-01-15T20:00:00|78.0
38|9|0|2025-01-15T21:00:00|78.0
38|9|0|2025-01-15T22:00:00|78.0
38|9|0|2025-01-15T23:00:00|77.633
38|9|0|2025-01-16T00:00:00|77.067
38|9|0|2025-01-16T01:00:00|77.0
38|9|0|2025-01-16T02:00:00|77.0
38|9|0|2025-01-16T03:00:00|77.0
38|9|0|2025-01-16T04:00:00|77.0
38|9|0|2025-01-16T05:00:00|77.0
38|9|0|2025-01-16T06:00:00|77.0
38|9|0|2025-01-16T07:00:00|77.0
38|9|0|2025-01-16T08:00:00|77.0
38|9|0|2025-01-16T09:00:00|77.0
38|9|0|2025-01-16T10:00:00|78.566
38|9|0|2025-01-16T11:00:00|79.966
38|9|0|2025-01-16T12:00:00|80.7
38|9|0|2025-01-16T13:00:00|82.767
38|9|0|2025-01-16T14:00:00|81.9
38|9|0|2025-01-16T15:00:00|79.666
38|9|0|2025-01-16T16:00:00|78.233
38|9|0|2025-01-16T17:00:00|77.166
38|9|0|2025-01-16T18:00:00|76.834
38|9|0|2025-01-16T19:00:00|76.867
38|9|0|2025-01-16T20:00:00|77.034
38|9|0|2025-01-16T21:00:00|77.034
38|9|0|2025-01-16T22:00:00|77.0
38|9|0|2025-01-16T23:00:00|77.0
38|9|0|2025-01-17T00:00:00|77.034
38|9|0|2025-01-17T01:00:00|77.066
38|9|0|2025-01-17T02:00:00|77.0
38|9|0|2025-01-17T03:00:00|77.0
38|9|0|2025-01-17T04:00:00|77.034
38|9|0|2025-01-17T05:00:00|77.0
38|9|0|2025-01-17T06:00:00|77.066
38|9|0|2025-01-17T07:00:00|77.067
38|9|0|2025-01-17T08:00:00|77.0
38|9|0|2025-01-17T09:00:00|77.034
38|9|0|2025-01-17T10:00:00|77.6
38|9|0|2025-01-17T11:00:00|78.0
38|9|0|2025-01-17T12:00:00|78.0
38|9|0|2025-01-17T13:00:00|78.0
38|9|0|2025-01-17T14:00:00|78.0
38|9|0|2025-01-17T15:00:00|77.666
38|9|0|2025-01-17T16:00:00|77.0
38|9|0|2025-01-17T17:00:00|77.0
38|9|0|2025-01-17T18:00:00|77.0
38|9|0|2025-01-17T19:00:00|77.034
38|9|0|2025-01-17T20:00:00|77.0
38|9|0|2025-01-17T21:00:00|77.0
38|9|0|2025-01-17T22:00:00|77.0
38|9|0|2025-01-17T23:00:00|77.0
38|9|0|2025-01-18T00:00:00|77.0
38|9|0|2025-01-18T01:00:00|77.0
38|9|0|2025-01-18T02:00:00|76.666
38|9|0|2025-01-18T03:00:00|76.0
38|9|0|2025-01-18T04:00:00|76.0
38|9|0|2025-01-18T05:00:00|76.0
38|9|0|2025-01-18T06:00:00|76.0
38|9|0|2025-01-18T07:00:00|76.034
38|9|0|2025-01-18T08:00:00|76.034
38|9|0|2025-01-18T09:00:00|76.0
38|9|0|2025-01-18T10:00:00|76.0
38|9|0|2025-01-18T11:00:00|76.0
38|9|0|2025-01-18T12:00:00|76.267
38|9|0|2025-01-18T13:00:00|77.534
38|9|0|2025-01-18T14:00:00|77.7
38|9|0|2025-01-18T15:00:00|77.0
38|9|0|2025-01-18T16:00:00|76.534
